question id,domain,question,prompt_type,response,sources
10,Law,Have there been legal cases challenging the use of GPT-generated legal briefs in court filings?,icl,"Yes, there have been several high-profile legal cases where the use of GPT-generated legal briefs in court filings has been challenged, leading to sanctions against attorneys. These cases primarily revolve around the submission of briefs containing ""hallucinated"" or entirely fabricated legal citations and case law.

A landmark case in this area is *Mata v. Avianca, Inc.* from the Southern District of New York. In this instance, lawyers for the plaintiff submitted a brief with multiple non-existent case citations generated by ChatGPT. When the court questioned the authenticity of these cases, the attorneys initially stood by their filings before admitting their use of the AI tool. The court ultimately sanctioned the lawyers for their actions, highlighting the professional responsibility of attorneys to verify the accuracy of their submissions.

Since the *Mata v. Avianca* case, other courts have also issued sanctions for similar conduct. For example:

*   A Texas attorney was sanctioned for using case citations that referred to non-existent cases and for including fabricated quotations generated by AI.
*   A Massachusetts lawyer was fined for citing fictitious cases in court pleadings that were produced by an AI tool.
*   Attorneys for the law firm Morgan & Morgan faced sanctions from a Wyoming federal judge for submitting filings that contained fake legal cases generated by artificial intelligence.
*   In California, two law firms were fined $31,000 for a legal brief containing fake citations generated by AI tools.

These cases underscore the judiciary's growing impatience with the misuse of generative AI in legal practice and emphasize that attorneys have a non-delegable duty to ensure the accuracy of all information presented to the court.

***

**Sources:**
*   Bloomberg Law News: [https://news.bloomberglaw.com/us-law-week/lawyer-sanctioned-over-ai-hallucinated-case-cites-quotations](https://news.bloomberglaw.com/us-law-week/lawyer-sanctioned-over-ai-hallucinated-case-cites-quotations)
*   Digital Watch Observatory: [https://dig.watch/resources/lawyers-sanctioned-after-ai-generated-cases-found-false](https://dig.watch/resources/lawyers-sanctioned-after-ai-generated-cases-found-false)
*   LawSites: [https://www.lawnext.com/2025/02/federal-judge-sanctions-morgan-morgan-attorneys-for-ai-generated-fake-cases-in-court-filing.html](https://www.lawnext.com/2025/02/federal-judge-sanctions-morgan-morgan-attorneys-for-ai-generated-fake-cases-in-court-filing.html)
*   Legal Dive: [https://www.legaldive.com/news/chatgpt-fake-cases-lawyer-sanctions/651579/](https://www.legaldive.com/news/chatgpt-fake-cases-lawyer-sanctions/651579/)
*   Maryland State Bar Association: [https://www.msba.org/massachusetts-lawyer-sanctioned-for-ai-generated-fictitious-case-citations/](https://www.msba.org/massachusetts-lawyer-sanctioned-for-ai-generated-fictitious-case-citations/)
*   Pryor Cashman: [https://www.pryorcashman.com/news-and-events/update-on-the-chatgpt-case-counsel-who-submitted-fake-cases-are-sanctioned](https://www.pryorcashman.com/news-and-events/update-on-the-chatgpt-case-counsel-who-submitted-fake-cases",https://news.bloomberglaw.com/us-law-week/lawyer-sanctioned-over-ai-hallucinated-case-cites-quotations](https://news.bloomberglaw.com/us-law-week/lawyer-sanctioned-over-ai-hallucinated-case-cites-quotations; https://dig.watch/resources/lawyers-sanctioned-after-ai-generated-cases-found-false](https://dig.watch/resources/lawyers-sanctioned-after-ai-generated-cases-found-false; https://www.lawnext.com/2025/02/federal-judge-sanctions-morgan-morgan-attorneys-for-ai-generated-fake-cases-in-court-filing.html](https://www.lawnext.com/2025/02/federal-judge-sanctions-morgan-morgan-attorneys-for-ai-generated-fake-cases-in-court-filing.html; https://www.legaldive.com/news/chatgpt-fake-cases-lawyer-sanctions/651579/](https://www.legaldive.com/news/chatgpt-fake-cases-lawyer-sanctions/651579/; https://www.msba.org/massachusetts-lawyer-sanctioned-for-ai-generated-fictitious-case-citations/](https://www.msba.org/massachusetts-lawyer-sanctioned-for-ai-generated-fictitious-case-citations/; https://www.pryorcashman.com/news-and-events/update-on-the-chatgpt-case-counsel-who-submitted-fake-cases-are-sanctioned](https://www.pryorcashman.com/news-and-events/update-on-the-chatgpt-case-counsel-who-submitted-fake-cases
11,Law,Did the International Criminal Court open any investigations related to environmental destruction in the Amazon in 2024?,icl,"As of 2024, the International Criminal Court (ICC) has not opened a formal investigation into environmental destruction in the Amazon. However, the ICC's Office of the Prosecutor has taken steps to address environmental crimes more broadly.

In February 2024, ICC Prosecutor Karim Khan announced a new policy initiative to enhance accountability for environmental crimes under the Rome Statute. This initiative includes the development of a new policy paper on environmental crimes, for which the office has invited expert opinions.

While several complaints have been filed with the ICC in previous years concerning alleged crimes in the Brazilian Amazon, the court has not yet opened a formal investigation into these specific claims. In late 2020, the ICC began a ""preliminary evaluation of jurisdiction"" into one of these complaints but has not provided a formal response to the others.

Sources:
- https://www.theguardian.com/environment/2024/mar/26/calls-for-international-criminal-court-to-end-impunity-for-environmental-crimes
- https://www.jurist.org/commentary/2024/05/icc-using-international-criminal-law-to-prosecute-suspects-of-eco-crimes/",https://www.theguardian.com/environment/2024/mar/26/calls-for-international-criminal-court-to-end-impunity-for-environmental-crimes; https://www.jurist.org/commentary/2024/05/icc-using-international-criminal-law-to-prosecute-suspects-of-eco-crimes/
12,Law,Is there a binding law in the UK that bans the use of facial recognition software in public protests as of 2025?,icl,"As of late 2025, there is no binding law in the United Kingdom that specifically bans the use of facial recognition software in public protests. The current legal landscape is governed by a combination of data protection, human rights, and common law, which has been described as a ""patchwork"".

Police forces in the UK have been expanding their use of facial recognition technology, including at peaceful gatherings and protests. This has raised significant concerns among civil liberties organizations about potential privacy violations and a ""chilling effect"" on the right to peaceful assembly.

In response to these concerns and the lack of a specific legal framework, the UK government launched a 10-week consultation in late 2025 to seek public views on how the technology should be regulated to inform new laws. While the Equality and Human Rights Commission has described the Metropolitan Police's policy on live facial recognition as ""unlawful,"" this has not resulted in a nationwide legal ban. The government's current focus appears to be on expanding the use of this technology while developing a new legal framework, rather than prohibiting it.

### Sources:
*   GOV.UK. (2025, December 4). *Consultation on a new legal framework for law enforcement use of biometrics, facial recognition and similar technologies (accessible)*.
*   GOV.UK. (2025, December 4). *Police use of facial recognition: factsheet*.
*   The Guardian. (2025, September 29). *Labour plans to consult on use of live facial recognition before wider roll-out*.
*   Sky News. (2025, December 4). *Police to ramp up use of 'out-of-control' facial recognition technology amid privacy warnings*.
*   Vertex AI Search. (2025, May 22). *UK anti-protest laws and surveillance technology need a rethink: Bond releases annual review on UK civic space*.
*   Vertex AI Search. (2025, December 4). *Facial recognition to be expanded as views sought to shape new laws | Darlington and Stockton Times*.
*   Vertex AI Search. (2025, December 4). *Facial recognition to be expanded across the country in fresh crime crackdown*.",
13,Law,Has the United Nations recognized environmental destruction (ecocide) as an international crime yet?,icl,"The United Nations has not yet formally recognized environmental destruction (ecocide) as an international crime. However, there is a growing movement to do so, with significant recent developments.

In September 2024, Vanuatu, Fiji, and Samoa submitted a joint proposal to the UN Secretary-General to amend the Rome Statute of the International Criminal Court (ICC) to include the crime of ecocide. This proposal is currently under consideration by the states parties to the Rome Statute.

Support for criminalizing ecocide has been voiced by prominent UN figures. UN Secretary-General António Guterres highlighted the ""need to establish a crime of ecocide at the international level"" in a 2024 report on the Protection of Civilians in Armed Conflict. The United Nations Environment Programme (UNEP) has also strongly advocated for recognizing ecocide as an international crime, on par with war crimes or crimes against humanity.

Further indicating a shift in international perspective, the International Union for Conservation of Nature (IUCN), whose members include government agencies, passed a motion in October 2025 that recognizes ecocide as a serious crime and calls for it to be included in national and international law.

While these actions signal significant momentum, the formal recognition of ecocide as an international crime by the United Nations is still pending the amendment of the Rome Statute by the ICC's member states.

Sources:
* EJIL: Talk! - Should Ecocide be an International Crime? It's Time for States to Decide. https://www.ejiltalk.org/should-ecocide-be-an-international-crime-its-time-for-states-to-decide/
* Stop Ecocide International - UN Secretary-General notes need for international crime of ecocide. https://www.stopecocide.earth/news-summary/un-secretary-general-notes-need-for-international-crime-of-ecocide
* Materia Rinnovabile - UNEP: “Recognising ecocide as war crime or crime against humanity”. https://materiarinnovabile.it/en/article/2025/11/12/unep-recognising-ecocide-as-war-crime-or-crime-against-humanity
* IUCN - Governments Recognize Ecocide As a Crime at World's Largest Conservation Congress. https://www.iucn.org/press-release/202510/governments-recognize-ecocide-crime-worlds-largest-conservation-congress",https://www.ejiltalk.org/should-ecocide-be-an-international-crime-its-time-for-states-to-decide/; https://www.stopecocide.earth/news-summary/un-secretary-general-notes-need-for-international-crime-of-ecocide; https://materiarinnovabile.it/en/article/2025/11/12/unep-recognising-ecocide-as-war-crime-or-crime-against-humanity; https://www.iucn.org/press-release/202510/governments-recognize-ecocide-crime-worlds-largest-conservation-congress
14,Law,Are “algorithmic discrimination” cases now being tried under Title VII of the U.S. Civil Rights Act as of 2025?,icl,"Yes, as of 2025, cases alleging ""algorithmic discrimination"" are being brought under Title VII of the U.S. Civil Rights Act. The U.S. Equal Employment Opportunity Commission (EEOC) has affirmed that Title VII, which prohibits employment discrimination based on race, color, religion, sex, and national origin, applies to the use of AI and algorithmic tools in hiring and other employment decisions.

While there have not yet been definitive merits rulings in 2025, several significant lawsuits are in progress. For instance, in *Harper v. Sirius XM*, a class action complaint was filed in August 2025, alleging that the company's use of an AI hiring tool resulted in racial discrimination in violation of Title VII. Another prominent case, *Mobley v. Workday*, involves claims that an AI-powered applicant screening system has a disparate impact on applicants based on race, age, and disability. In May 2025, a court certified a collective action for the age discrimination claims in the *Mobley* case, allowing those claims to proceed collectively.

These cases primarily argue that algorithmic tools can lead to ""disparate impact,"" a legal theory under Title VII where a seemingly neutral employment practice disproportionately screens out individuals from a protected class. Employers can be held liable for the discriminatory outcomes of AI tools, even if those tools were developed by a third-party vendor.

***

**Sources:**
*   Epstein Becker Green, ""Artificial Intelligence Bias: Harper v. Sirius XM Challenges Algorithmic Discrimination in Hiring | Epstein Becker Green - Workforce Bulletin,"" October 17, 2025.
*   Fisher Phillips, ""Another Employer Faces AI Hiring Bias Lawsuit: 10 Actions You Can Take to Prevent AI Litigation,"" August 15, 2025.
*   Goodell, DeVries, Leech & Dann, LLP, ""AI in Hiring: Hidden Compliance Risks for Employers,"" November 4, 2025.
*   Labor and Employment Law Insights, ""California Court Grants Preliminary Collective Certification to Job Applicants Claiming Age Discrimination by Artificial Intelligence,"" July 29, 2025.
*   Learn & Work Ecosystem Library, ""AI Hiring Discrimination Lawsuits,"" October 20, 2025.
*   The Modern Workplace, ""Lawsuits Alleging Systemic Bias in AI Algorithmic Screening Tools Should Serve as Cautionary Tale,"" October 20, 2025.
*   TransCrypts, ""AI in Hiring: Navigating New EEOC Guidance and Compliance Risks,"" November 2, 2025.
*   Cooley, ""AI in the Workplace: US Legal Developments,"" September 4, 2025.",
15,Law,What are the Miranda rights in U.S. criminal procedure?,icl,"In U.S. criminal procedure, Miranda rights are a set of warnings that police must give to a suspect in custody before interrogation. These rights stem from the Fifth Amendment's protection against self-incrimination and the Sixth Amendment's right to counsel.

The typical Miranda warning includes four key elements:
*   The right to remain silent.
*   Anything said can and will be used against the suspect in a court of law.
*   The right to an attorney.
*   If the suspect cannot afford an attorney, one will be provided for them.

These warnings were established by the Supreme Court in the 1966 case *Miranda v. Arizona*. If law enforcement fails to give these warnings before a custodial interrogation, any statements made by the suspect may be inadmissible in court under the exclusionary rule.

***
Sources:
* [https://www.law.cornell.edu/wex/miranda_warning](https://www.law.cornell.edu/wex/miranda_warning)
* [https://www.mirandawarning.org/what-are-your-miranda-rights/](https://www.mirandawarning.org/what-are-your-miranda-rights/)
* [https://constitution.congress.gov/browse/essay/amdt5-4-7-5/ALDE_00000872/](https://constitution.congress.gov/browse/essay/amdt5-4-7-5/ALDE_00000872/)
* [https://en.wikipedia.org/wiki/Miranda_warning](https://en.wikipedia.org/wiki/Miranda_warning)
* [https://www.rscmlaw.com/what-is-the-purpose-of-the-miranda-warning/](https://www.rscmlaw.com/what-is-the-purpose-of-the-miranda-warning/)
* [https://www.justia.com/criminal/procedure/miranda-rights/](https://www.justia.com/criminal/procedure/miranda-rights/)",https://www.law.cornell.edu/wex/miranda_warning](https://www.law.cornell.edu/wex/miranda_warning; https://www.mirandawarning.org/what-are-your-miranda-rights/](https://www.mirandawarning.org/what-are-your-miranda-rights/; https://constitution.congress.gov/browse/essay/amdt5-4-7-5/ALDE_00000872/](https://constitution.congress.gov/browse/essay/amdt5-4-7-5/ALDE_00000872/; https://en.wikipedia.org/wiki/Miranda_warning](https://en.wikipedia.org/wiki/Miranda_warning; https://www.rscmlaw.com/what-is-the-purpose-of-the-miranda-warning/](https://www.rscmlaw.com/what-is-the-purpose-of-the-miranda-warning/; https://www.justia.com/criminal/procedure/miranda-rights/](https://www.justia.com/criminal/procedure/miranda-rights/
16,Law,What are the key elements of a legally binding contract?,icl,"For a contract to be legally binding, several essential elements must be present. These typically include:

*   **Offer:** One party must make a clear and definite proposal to another.
*   **Acceptance:** The other party must unequivocally agree to the terms of the offer.
*   **Consideration:** Something of value must be exchanged between the parties, such as money, goods, or services.
*   **Intention to Create Legal Relations:** Both parties must understand and agree that the agreement is legally enforceable.
*   **Capacity:** The parties must be legally capable of entering into a contract, meaning they are of legal age and sound mind.
*   **Legality:** The purpose of the contract must be legal and not against public policy.

If any of these core components are missing, the agreement may not be considered a valid and enforceable contract.

***
Sources:
* [https://www.docusign.com/blog/essential-elements-of-a-contract](https://www.docusign.com/blog/essential-elements-of-a-contract)
* [https://www.pocketlaw.com/blog/essential-elements-of-a-legally-binding-contract](https://www.pocketlaw.com/blog/essential-elements-of-a-legally-binding-contract)
* [https://emlaw.co.uk/insights/contract-law-essentials-of-a-legally-binding-contract](https://emlaw.co.uk/insights/contract-law-essentials-of-a-legally-binding-contract)
* [https://www.legalsifter.com/blog/7-essential-elements-of-a-contract](https://www.legalsifter.com/blog/7-essential-elements-of-a-contract)
* [https://docupilot.app/blog/elements-of-a-contract](https://docupilot.app/blog/elements-of-a-contract)",https://www.docusign.com/blog/essential-elements-of-a-contract](https://www.docusign.com/blog/essential-elements-of-a-contract; https://www.pocketlaw.com/blog/essential-elements-of-a-legally-binding-contract](https://www.pocketlaw.com/blog/essential-elements-of-a-legally-binding-contract; https://emlaw.co.uk/insights/contract-law-essentials-of-a-legally-binding-contract](https://emlaw.co.uk/insights/contract-law-essentials-of-a-legally-binding-contract; https://www.legalsifter.com/blog/7-essential-elements-of-a-contract](https://www.legalsifter.com/blog/7-essential-elements-of-a-contract; https://docupilot.app/blog/elements-of-a-contract](https://docupilot.app/blog/elements-of-a-contract
17,Law,What are the main types of intellectual property rights?,icl,"The main types of intellectual property (IP) rights are patents, copyrights, trademarks, and trade secrets. Each protects a different kind of intangible asset.

*   **Patents** safeguard inventions, granting inventors exclusive rights to their creations for a limited time.
*   **Copyrights** protect original works of authorship, such as literary, artistic, and musical creations.
*   **Trademarks** include symbols, names, and phrases that distinguish the goods or services of one party from others.
*   **Trade secrets** are confidential business information, like formulas or processes, that provide a competitive edge.

Some jurisdictions also recognize other forms of IP, such as industrial designs and geographical indications.

***
Sources:
* [https://www.brewerlong.com/blog/4-types-of-intellectual-property-protections-explained/](https://www.brewerlong.com/blog/4-types-of-intellectual-property-protections-explained/)
* [https://www.investopedia.com/terms/i/intellectualproperty.asp](https://www.investopedia.com/terms/i/intellectualproperty.asp)
* [https://www.stfrancislaw.com/blog/intellectual-property-rights-definition-and-examples/](https://www.stfrancislaw.com/blog/intellectual-property-rights-definition-and-examples/)
* [https://thelegalschool.com/types-of-intellectual-property-meaning-acts-importance-examples/](https://thelegalschool.com/types-of-intellectual-property-meaning-acts-importance-examples/)
* [https://en.wikipedia.org/wiki/Intellectual_property](https://en.wikipedia.org/wiki/Intellectual_property)",https://www.brewerlong.com/blog/4-types-of-intellectual-property-protections-explained/](https://www.brewerlong.com/blog/4-types-of-intellectual-property-protections-explained/; https://www.investopedia.com/terms/i/intellectualproperty.asp](https://www.investopedia.com/terms/i/intellectualproperty.asp; https://www.stfrancislaw.com/blog/intellectual-property-rights-definition-and-examples/](https://www.stfrancislaw.com/blog/intellectual-property-rights-definition-and-examples/; https://thelegalschool.com/types-of-intellectual-property-meaning-acts-importance-examples/](https://thelegalschool.com/types-of-intellectual-property-meaning-acts-importance-examples/; https://en.wikipedia.org/wiki/Intellectual_property](https://en.wikipedia.org/wiki/Intellectual_property
18,Law,"What are the elements of negligence, and how is duty of care established?",icl,"To prove negligence, a plaintiff must establish four elements: 

*   **Duty of Care**: The defendant had a legal obligation to act with a certain level of care. 
*   **Breach of Duty**: The defendant failed to meet that standard of care. 
*   **Causation**: The defendant's breach directly caused the plaintiff's injuries. 
*   **Damages**: The plaintiff suffered actual harm or loss as a result. 

The duty of care is a legal obligation to act reasonably and avoid causing foreseeable harm to others. It is generally established by demonstrating a relationship between the parties where the law imposes an obligation on one to protect the other from harm. Courts consider what a ""reasonable person"" would have done in the same situation. Specific relationships, such as those between a doctor and patient or a driver and other road users, automatically establish a duty of care. 

*** 

**Sources:** 
*   https://www.law.cornell.edu/wex/negligence 
*   https://www.findlaw.com/injury/accident-injury-law/what-are-the-elements-of-negligence.html 
*   https://www.marksandharrison.com/blog/what-are-the-four-elements-of-negligence/ 
*   https://www.cohenjaffe.com/blog/the-core-elements-of-negligence/ 
*   https://www.commonwealthlawgroup.com/blog/2022/11/understanding-the-four-elements-of-negligence/ 
*   https://baumgartnerlawyers.com/blog/duty-of-care-in-negligence-claims/ 
*   https://www.sutliffandstout.com/personal-injury/duty-of-care/ 
*   https://www.nolo.com/legal-encyclopedia/duty-of-care-30260.html",https://www.law.cornell.edu/wex/negligence; https://www.findlaw.com/injury/accident-injury-law/what-are-the-elements-of-negligence.html; https://www.marksandharrison.com/blog/what-are-the-four-elements-of-negligence/; https://www.cohenjaffe.com/blog/the-core-elements-of-negligence/; https://www.commonwealthlawgroup.com/blog/2022/11/understanding-the-four-elements-of-negligence/; https://baumgartnerlawyers.com/blog/duty-of-care-in-negligence-claims/; https://www.sutliffandstout.com/personal-injury/duty-of-care/; https://www.nolo.com/legal-encyclopedia/duty-of-care-30260.html
19,Law,"What are the elements of defamation for public figures versus private individuals, and what defenses apply?",icl,"For a defamation claim, both public and private individuals must prove a false statement was published to a third party, causing harm to their reputation. The key difference lies in the required level of fault. Private individuals typically only need to show the defendant was negligent, meaning they didn't exercise reasonable care in verifying the statement's truthfulness.

Public figures, however, must prove ""actual malice."" This higher standard requires showing the defendant knew the statement was false or acted with reckless disregard for the truth. This distinction, established in *New York Times Co. v. Sullivan*, is intended to protect free speech on matters of public interest.

Common defenses to defamation include truth (the statement was substantially true), absolute or qualified privilege (the statement was made in a protected context, like a judicial proceeding), and opinion (the statement was a subjective assertion rather than a factual claim).

***
**Sources:**
*   https://www.law.cornell.edu/wex/defamation
*   https://www.pbs.org/media-law-101/faq/defamation
*   https://www.nolo.com/legal-encyclopedia/libel-vs-slander-different-types-defamation.html
*   https://www.bakerlawgroup.com/blog/2023/september/comparative-analysis-of-public-vs-private-figu/
*   https://www.protectdemocracy.org/work/actual-malice-standard-explained/
*   https://www.carruthers-law.co.uk/defamation-defences/
*   https://www.borrus.com/defamation-defenses-truth-and-privilege/
*   https://www.bdblaw.com/insights/blogs/defamation-of-a-public-figure-vs-private-figure/
*   https://www.thomsonreuters.com/en-us/posts/legal/actual-malice/
*   https://en.wikipedia.org/wiki/Actual_malice
*   https://lopezlawgroup.com/public-figures-and-defamation/",https://www.law.cornell.edu/wex/defamation; https://www.pbs.org/media-law-101/faq/defamation; https://www.nolo.com/legal-encyclopedia/libel-vs-slander-different-types-defamation.html; https://www.bakerlawgroup.com/blog/2023/september/comparative-analysis-of-public-vs-private-figu/; https://www.protectdemocracy.org/work/actual-malice-standard-explained/; https://www.carruthers-law.co.uk/defamation-defences/; https://www.borrus.com/defamation-defenses-truth-and-privilege/; https://www.bdblaw.com/insights/blogs/defamation-of-a-public-figure-vs-private-figure/; https://www.thomsonreuters.com/en-us/posts/legal/actual-malice/; https://en.wikipedia.org/wiki/Actual_malice; https://lopezlawgroup.com/public-figures-and-defamation/
20,Tech,"What maximum power level is defined by USB Power Delivery 3.1 EPR, and what cable requirement enables it?",icl,"USB Power Delivery (PD) 3.1's Extended Power Range (EPR) defines a maximum power level of 240 watts. This is a significant increase from the 100-watt limit of the previous PD 3.0 standard.

To enable this 240W power transfer, a specific USB Type-C cable compliant with the Type-C 2.1 specification is required. These cables, officially called Extended Power Range (EPR) cables, are designed to handle the increased voltage and current, supporting up to 48V at 5A. They must include an E-Marker chip that electronically identifies the cable as being capable of supporting EPR's 240W power delivery.

***

**Sources:**
* https://www.ecoflow.com/us/blog/usb-pd-2-0-vs-3-0-vs-3-1
* https://www.graniteriverlabs.com/en-us/technical-blog/introduction-pd3-1-latest-usb-if-power-delivery-specification
* https://www.advantech.com/en/media/news/b0a0a19f-614b-492a-a85a-4010931680a1
* https://satechi.net/blogs/news/pd-3-1-protocol-everything-you-need-to-know
* https://minisopuru.com/blogs/news/a-comprehensive-guide-to-the-pd-3-1-protocol
* https://petra.com/manhattan-240-watt-usb-c-pd-3-1-epr-charging-cable-397302",https://www.ecoflow.com/us/blog/usb-pd-2-0-vs-3-0-vs-3-1; https://www.graniteriverlabs.com/en-us/technical-blog/introduction-pd3-1-latest-usb-if-power-delivery-specification; https://www.advantech.com/en/media/news/b0a0a19f-614b-492a-a85a-4010931680a1; https://satechi.net/blogs/news/pd-3-1-protocol-everything-you-need-to-know; https://minisopuru.com/blogs/news/a-comprehensive-guide-to-the-pd-3-1-protocol; https://petra.com/manhattan-240-watt-usb-c-pd-3-1-epr-charging-cable-397302
21,Tech,Python requests.get() default timeout is what (if not provided)?,icl,"By default, the Python `requests.get()` function does not have a timeout if one is not explicitly provided. This means that if the server does not respond, the request will wait indefinitely, potentially causing your program to hang.

It is a recommended practice to always specify a `timeout` value for any production code to prevent this issue. You can provide a single float value for the total timeout, or a tuple to set separate timeouts for connecting and reading.

Sources:
*   https://requests.readthedocs.io/en/latest/user/advanced/#timeouts
*   https://www.reqbin.com/req/python/c-13/python-requests-timeout
*   https://stackoverflow.com/questions/17782543/what-is-the-default-timeout-that-requests-get-uses",https://requests.readthedocs.io/en/latest/user/advanced/#timeouts; https://www.reqbin.com/req/python/c-13/python-requests-timeout; https://stackoverflow.com/questions/17782543/what-is-the-default-timeout-that-requests-get-uses
22,Tech,What is the maximum size (in bytes) of a single ConfigMap (total data) in Kubernetes?,icl,"The maximum size of a single ConfigMap in Kubernetes is 1 MiB (1,048,576 bytes). This limitation is in place because ConfigMaps are stored in etcd, Kubernetes's underlying key-value store, which is optimized for handling smaller, metadata-like objects.

Exceeding this 1 MiB limit will result in an error when attempting to create or update the ConfigMap. If your configuration data is larger than this, it is recommended to use alternative methods such as mounting a volume or utilizing a separate database or file service. For larger sets of configuration files, you might also consider splitting them into multiple ConfigMaps.

While the underlying etcd request size limit can technically be configured, the 1 MiB size for ConfigMaps is the standard, enforced limit within Kubernetes.

Sources:
- Plural. (2025, April 22). *Kubernetes ConfigMaps: The Ultimate Guide*.
- Spacelift. (2025, September 5). *Kubernetes ConfigMap - What It is, How to Use & Examples*.
- Lv, A. (2022, September 3). *Why K8s Secret and ConfigMap are limited to 1MiB in size*. Medium.
- Plural. (2025, February 27). *Kubernetes ConfigMap Best Practices for Efficient Deployments*.
- Stack Overflow. (2018, October 26). *Kubernetes ConfigMap size limitation*.
- GitHub. (2016, January 17). *Size limit for ConfigMap · Issue #19781*.",
23,Tech,What does docker run --init add to the container process tree and why is it useful?,icl,"The `docker run --init` flag injects a small init process, called `tini`, as the main process (PID 1) inside the container. This init process then starts your application's primary process.

This is useful for two main reasons:

1.  **Zombie Process Reaping**: `tini` properly handles and cleans up ""zombie"" processes that can accumulate and consume system resources if the main application in the container doesn't correctly manage its child processes.

2.  **Signal Forwarding**: It ensures that signals, like `SIGTERM` for graceful shutdown, are correctly passed from the Docker daemon to the container's application. Many applications don't handle signals correctly when running as PID 1, which can prevent them from shutting down gracefully.

Essentially, `--init` helps containers behave more like a traditional operating system, improving stability and process management.

Sources:
- https://docs.docker.com/engine/reference/run/#init
- https://github.com/krallin/tini
- https://www.baeldung.com/ops/docker-run-init-parameter
- https://medium.com/@computingpost/how-to-use-tini-init-system-in-docker-containers-18c075f0e1c9
- https://stackoverflow.com/questions/36340219/how-to-use-init-parameter-in-docker-run",https://docs.docker.com/engine/reference/run/#init; https://github.com/krallin/tini; https://www.baeldung.com/ops/docker-run-init-parameter; https://medium.com/@computingpost/how-to-use-tini-init-system-in-docker-containers-18c075f0e1c9; https://stackoverflow.com/questions/36340219/how-to-use-init-parameter-in-docker-run
24,Tech,Python logging.basicConfig() will configure handlers how many times in a process by default?,icl,"By default, Python's `logging.basicConfig()` will configure handlers only once within a process. It is designed as a one-time configuration utility for the root logger.

Subsequent calls to `logging.basicConfig()` in the same process will be ignored; only the first call has any effect. To avoid potential issues, this function should be called before any logging messages are emitted. If no handlers are configured, the logging module will automatically set a default handler to the console (`sys.stderr`) when the first message is logged.

Sources:
- Better Stack Community. (2025, May 14). *A Comprehensive Guide to Logging in Python*. https://betterstack.com/community/guides/logging/python/
- Python Software Foundation. (n.d.). *Logging HOWTO*. Python 3.14.2 documentation. https://docs.python.org/3/howto/logging.html",https://betterstack.com/community/guides/logging/python/; https://docs.python.org/3/howto/logging.html
25,Tech,What is the default TCP port number for HTTPS?,icl,"The default TCP port number for HTTPS is 443. This port is recognized by the Internet Engineering Task Force (IETF) for encrypted communication between a web browser and a server.

When you access a website using an ""https://"" URL, your browser automatically connects to the server on port 443 to establish a secure connection using SSL/TLS encryption. This ensures that the data transmitted, such as login credentials or personal information, is protected from eavesdropping. In contrast, the unsecured HTTP protocol uses the default port 80. While other ports like 8443 can be used for HTTPS, 443 is the universally recognized standard.

Sources:
- https://www.hostinger.com/tutorials/what-is-https-port
- https://sucuri.net/guides/https-ssl-ports/
- https://sslinsights.com/https-protocol-the-default-port-for-ssl-common-tcp-ports/
- https://monovm.com/blog/what-is-https-port-number/
- https://www.cbtnuggets.com/blog/technology/networking/http-80-vs-https-443","https://""; https://www.hostinger.com/tutorials/what-is-https-port; https://sucuri.net/guides/https-ssl-ports/; https://sslinsights.com/https-protocol-the-default-port-for-ssl-common-tcp-ports/; https://monovm.com/blog/what-is-https-port-number/; https://www.cbtnuggets.com/blog/technology/networking/http-80-vs-https-443"
26,Tech,"In Big-O notation, what are the average-case and worst-case time complexities of quicksort?",icl,"In Big-O notation, the quicksort algorithm has an average-case time complexity of O(n log n). This is achieved when the pivot element chosen at each step divides the array into two roughly equal halves.

The worst-case time complexity of quicksort is O(n²). This scenario occurs when the pivot selection consistently results in highly unbalanced partitions. For example, if the smallest or largest element is always chosen as the pivot in a sorted or reverse-sorted array, the algorithm's performance degrades significantly.

Sources:
* https://en.wikipedia.org/wiki/Quicksort
* https://builtin.com/software-engineering-perspectives/quicksort-algorithm
* https://www.quora.com/What-is-Quicksort-and-its-average-vs-worst-case-time-complexity
* https://www.geeksforgeeks.org/time-and-space-complexity-analysis-of-quick-sort/
* https://www.programiz.pro/algorithm/quick-sort-complexity
* https://stratascratch.com/blog/a-complete-guide-to-quick-sort-time-complexity/",https://en.wikipedia.org/wiki/Quicksort; https://builtin.com/software-engineering-perspectives/quicksort-algorithm; https://www.quora.com/What-is-Quicksort-and-its-average-vs-worst-case-time-complexity; https://www.geeksforgeeks.org/time-and-space-complexity-analysis-of-quick-sort/; https://www.programiz.pro/algorithm/quick-sort-complexity; https://stratascratch.com/blog/a-complete-guide-to-quick-sort-time-complexity/
