question id,domain,question,prompt_type,response,sources
2,Medicine,What imaging findings define a positive FAST exam in blunt abdominal trauma?,verification,"Positive FAST is defined by ultrasound visualization of free fluid (typically anechoic) in dependent intraperitoneal spaces—RUQ (Morrison’s pouch/right paracolic/hepato‑diaphragmatic), LUQ (splenorenal/subphrenic/left paracolic), pelvis (rectovesical or rectouterine)—and/or pericardial effusion. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/books/NBK470479/?utm_source=openai))

Source relevance: ACEP Sonoguide and StatPearls are authoritative emergency ultrasound references that explicitly define FAST positivity and list the dependent spaces where fluid is sought. ([acep.org](https://www.acep.org/sonoguide/basic/fast?utm_source=openai))

Sources:
https://www.acep.org/sonoguide/basic/fast
https://www.ncbi.nlm.nih.gov/books/NBK470479/",https://www.ncbi.nlm.nih.gov/books/NBK470479/?utm_source=openai; https://www.acep.org/sonoguide/basic/fast?utm_source=openai; https://www.acep.org/sonoguide/basic/fast; https://www.ncbi.nlm.nih.gov/books/NBK470479/
2,Medicine,What imaging findings define a positive FAST exam in blunt abdominal trauma?,icl,"Positive FAST = sonographic free fluid.

- Intraperitoneal: anechoic or hypoechoic fluid in any dependent space on standard views—RUQ (Morison’s pouch/hepatorenal recess/right paracolic gutter), LUQ (splenorenal recess/subdiaphragmatic), or pelvis (rectovesical/rectouterine pouch). Solid-organ injury visualization is not required. ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC8933745/?utm_source=openai))
- Pericardial: anechoic pericardial effusion on the subxiphoid or parasternal cardiac view. Trace pelvic fluid may still be considered positive in trauma; clotted blood can appear heterogeneous. ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC8933745/?utm_source=openai))

Sources:
https://pmc.ncbi.nlm.nih.gov/articles/PMC8933745/
https://www.acep.org/emultrasound/newsroom/jul2021/cases-that-count-serial-fast-examinations-in-a-patient-with-a-penetrating-stab-wound-to-the-buttock
https://www.acep.org/sonoguide/procedures/pericardiocentesis/",https://pmc.ncbi.nlm.nih.gov/articles/PMC8933745/?utm_source=openai; https://pmc.ncbi.nlm.nih.gov/articles/PMC8933745/; https://www.acep.org/emultrasound/newsroom/jul2021/cases-that-count-serial-fast-examinations-in-a-patient-with-a-penetrating-stab-wound-to-the-buttock; https://www.acep.org/sonoguide/procedures/pericardiocentesis/
3,Medicine,What ECG patterns and clinical context define Wellens syndrome (types A and B)?,direct,"Definition/clinical context:
- Pain-free patient after recent angina with minimal/normal troponin.
- ECG during pain-free period shows: preserved precordial R-wave progression, no precordial Q waves, and isoelectric or <1 mm ST elevation (usually in V2–V3). Strongly suggests critical proximal LAD stenosis and high short‑term risk of anterior MI; avoid stress testing, pursue urgent angiography. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/sites/books/NBK482490/?utm_source=openai))

ECG patterns:
- Type A (≈25%): biphasic T waves in V2–V3 with initial positivity and terminal negativity; may extend V1–V6. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/sites/books/NBK482490/?utm_source=openai))
- Type B (≈75%): deep, symmetric T‑wave inversions in V2–V3 (can involve other precordial leads). ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/sites/books/NBK482490/?utm_source=openai))

These patterns are typically recorded when pain-free and may “pseudonormalize” during pain. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/sites/books/NBK482490/?utm_source=openai))

Sources:
https://www.ncbi.nlm.nih.gov/sites/books/NBK482490/
https://litfl.com/wellens-syndrome-ecg-library/
https://journals.lww.com/jaapa/Fulltext/2023/02000/Wellens_syndrome__An_important_consideration_in.5.aspx",https://www.ncbi.nlm.nih.gov/sites/books/NBK482490/?utm_source=openai; https://www.ncbi.nlm.nih.gov/sites/books/NBK482490/; https://litfl.com/wellens-syndrome-ecg-library/; https://journals.lww.com/jaapa/Fulltext/2023/02000/Wellens_syndrome__An_important_consideration_in.5.aspx
3,Medicine,What ECG patterns and clinical context define Wellens syndrome (types A and B)?,precise,"Wellens syndrome is a pre-infarction ECG pattern signaling critical proximal LAD stenosis.

ECG (captured when pain-free after recent angina):
- Type A: biphasic T waves (initial positive, terminal negative) in V2–V3; may extend V1–V6; about 25% of cases.
- Type B: deep, symmetric T‑wave inversion in V2–V3; about 75% of cases.

Additional criteria/context: minimal or no ST deviation (isoelectric or <1 mm elevation, sometimes slight depression), no precordial Q waves, preserved R‑wave progression, and normal or only mildly elevated troponin. Patients are at high risk of imminent large anterior MI; avoid stress testing and pursue urgent cardiology evaluation/revascularization.

Sources:
https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2023/01/20/17/59/wellens-syndrome
https://www.ncbi.nlm.nih.gov/sites/books/NBK482490/",https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2023/01/20/17/59/wellens-syndrome; https://www.ncbi.nlm.nih.gov/sites/books/NBK482490/
3,Medicine,What ECG patterns and clinical context define Wellens syndrome (types A and B)?,verification,"Definition/context: Pain-free after recent angina, with normal or mildly elevated troponin, indicating critical proximal LAD stenosis and high risk of anterior MI. ([litfl.com](https://litfl.com/wellens-syndrome-ecg-library/?utm_source=openai))
ECG patterns:
- Type A: biphasic T waves (initial up then down) in V2–V3. ([acc.org](https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2023/01/20/17/59/wellens-syndrome))
- Type B: deep, symmetric T‑wave inversions in V2–V3. ([acc.org](https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2023/01/20/17/59/wellens-syndrome))
Additional ECG criteria: changes often extend V1–V6; ST is isoelectric or minimally changed (<1 mm); preserved R‑wave progression; no precordial Q waves; pattern appears when pain‑free. ([litfl.com](https://litfl.com/wellens-syndrome-ecg-library/?utm_source=openai))

Why these sources: ACC, StatPearls, and LITFL provide society‑vetted or peer‑reviewed descriptions of the Wellens ECG patterns and clinical context.

Sources:
https://litfl.com/wellens-syndrome-ecg-library/
https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2023/01/20/17/59/wellens-syndrome
https://www.ncbi.nlm.nih.gov/books/NBK482490/",https://litfl.com/wellens-syndrome-ecg-library/?utm_source=openai; https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2023/01/20/17/59/wellens-syndrome; https://litfl.com/wellens-syndrome-ecg-library/; https://www.ncbi.nlm.nih.gov/books/NBK482490/
3,Medicine,What ECG patterns and clinical context define Wellens syndrome (types A and B)?,icl,"Wellens syndrome is a pre-infarction pattern seen after chest pain resolves, highly specific for critical proximal LAD stenosis. Clinical context: pain-free at ECG, recent angina, normal or slightly elevated troponin; ECG shows isoelectric or minimal ST elevation (<1 mm), preserved R-wave progression, and no precordial Q waves. ([litfl.com](https://litfl.com/wellens-syndrome-ecg-library/?utm_source=openai))

ECG patterns
- Type A (~25%): biphasic T waves in V2–V3 (initial positive, terminal negative).
- Type B (~75%): deeply symmetric T-wave inversion in V2–V3 (may extend V1–V6).
Changes are classically recorded in the pain-free state and may “pseudonormalize” during pain. ([litfl.com](https://litfl.com/wellens-syndrome-ecg-library/?utm_source=openai))

Sources:
https://litfl.com/wellens-syndrome-ecg-library/
https://www.ncbi.nlm.nih.gov/books/NBK482490/",https://litfl.com/wellens-syndrome-ecg-library/?utm_source=openai; https://litfl.com/wellens-syndrome-ecg-library/; https://www.ncbi.nlm.nih.gov/books/NBK482490/
4,Medicine,What are the diagnostic criteria for takotsubo cardiomyopathy?,direct,"Two commonly used criteria sets:

Modified Mayo Clinic criteria (2008) — all required:
- Transient LV regional wall‑motion abnormalities (often beyond a single coronary territory, ± apical involvement).
- No obstructive coronary disease or angiographic evidence of acute plaque rupture.
- New ECG changes (ST elevation/T‑wave inversion) or modest troponin rise.
- No pheochromocytoma or myocarditis. ([jstage.jst.go.jp](https://www.jstage.jst.go.jp/article/circj/78/9/78_CJ-14-0859/_article))

InterTAK Diagnostic Criteria (2018) — key elements:
- Transient LV dysfunction with typical patterns (apical, mid‑ventricular, basal, or focal); RV involvement possible.
- Trigger (emotional/physical) may be present but is not mandatory; neurological disorders or pheochromocytoma can act as triggers.
- New ECG abnormalities and moderate biomarker elevation (troponin; BNP often high).
- Significant coronary artery disease can co‑exist but should not explain dysfunction.
- Exclude infectious myocarditis; predominance in postmenopausal women. ([academic.oup.com](https://academic.oup.com/eurheartj/article/39/22/2032/5025412?utm_source=openai))

Sources:
https://www.jstage.jst.go.jp/article/circj/78/9/78_CJ-14-0859/_article
https://academic.oup.com/eurheartj/article/39/22/2032/5025412",https://www.jstage.jst.go.jp/article/circj/78/9/78_CJ-14-0859/_article; https://academic.oup.com/eurheartj/article/39/22/2032/5025412?utm_source=openai; https://academic.oup.com/eurheartj/article/39/22/2032/5025412
4,Medicine,What are the diagnostic criteria for takotsubo cardiomyopathy?,precise,"Most current: InterTAK Diagnostic Criteria (2018). Diagnose takotsubo syndrome when the following are considered:
- Transient LV systolic dysfunction (apical, midventricular, basal or focal), usually beyond a single coronary territory; RV may be involved.
- Emotional/physical trigger may precede (not required); neurologic disease or pheochromocytoma can be triggers.
- New ECG changes (ST elevation/depression, T‑wave inversion, QTc prolongation).
- Cardiac biomarkers modestly elevated; BNP often high.
- Coronary artery disease may coexist (no culprit thrombotic occlusion).
- No infectious myocarditis (CMR recommended to exclude).
- Predominantly affects postmenopausal women.
Coronary angiography with LV imaging is the gold standard to exclude ACS and confirm TTS. ([academic.oup.com](https://academic.oup.com/eurheartj/article/39/22/2032/5025412))

Sources:
https://academic.oup.com/eurheartj/article/39/22/2032/5025412
https://www.acc.org/latest-in-cardiology/articles/2018/06/21/12/42/feature-story-takotsubo-syndrome-key-points-to-remember-to-improve-practice",https://academic.oup.com/eurheartj/article/39/22/2032/5025412; https://www.acc.org/latest-in-cardiology/articles/2018/06/21/12/42/feature-story-takotsubo-syndrome-key-points-to-remember-to-improve-practice
4,Medicine,What are the diagnostic criteria for takotsubo cardiomyopathy?,verification,"Diagnostic criteria (InterTAK, 2018):
- Transient LV dysfunction with typical wall‑motion patterns (apical, midventricular, basal, or focal); RV may be involved; abnormalities usually extend beyond one vascular territory. 
- Emotional/physical trigger may occur but is not required.
- Neurologic disorders or pheochromocytoma can be triggers.
- New ECG changes (ST elevation/depression, T‑wave inversion, QTc prolongation); occasionally none.
- Cardiac biomarkers moderately elevated; BNP often markedly elevated.
- Significant coronary artery disease may coexist (not exclusionary).
- No evidence of infectious myocarditis (CMR recommended to exclude).
- Predominantly affects postmenopausal women. 
Earlier “revised Mayo” criteria emphasize transient wall‑motion abnormality beyond one vascular territory, absence of obstructive CAD/plaque rupture, new ECG changes or modest troponin rise, and exclusion of pheochromocytoma/myocarditis.

Source relevance: The 2018 European Heart Journal international consensus defines InterTAK criteria; the takotsubo.net page reproduces the full table and HFA criteria, and the Circulation Journal article details the widely used revised Mayo criteria.

Sources:
https://academic.oup.com/eurheartj/article/39/22/2032/5025412
https://takotsubo.net/health-professionals/diagnosing-takotsubo/
https://www.jstage.jst.go.jp/article/circj/78/9/78_CJ-14-0859/_article",https://academic.oup.com/eurheartj/article/39/22/2032/5025412; https://takotsubo.net/health-professionals/diagnosing-takotsubo/; https://www.jstage.jst.go.jp/article/circj/78/9/78_CJ-14-0859/_article
4,Medicine,What are the diagnostic criteria for takotsubo cardiomyopathy?,icl,"Two commonly used criteria:

- Revised Mayo Clinic criteria (2008): (1) Transient LV regional wall‑motion abnormality beyond a single epicardial territory (often apical); (2) No obstructive coronary disease or acute plaque rupture; (3) New ECG changes (ST elevation and/or T‑wave inversion) or modest troponin rise; (4) Absence of pheochromocytoma and myocarditis. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/sites/books/NBK430798/))

- InterTAK Diagnostic Criteria (2018 consensus): (1) Transient LV dysfunction with apical, mid‑ventricular, basal, or focal patterns; RV involvement possible; (2) Emotional/physical trigger common but not required; (3) Neurologic disease or pheochromocytoma may be triggers; (4) New ECG changes, including QTc prolongation; (5) Troponin/CK modestly elevated; BNP often high; (6) Significant CAD may coexist (not exclusion); (7) No infectious myocarditis; (8) Predominantly postmenopausal women; CMR recommended to exclude myocarditis. ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC5991216/))

Sources:
- https://www.ncbi.nlm.nih.gov/sites/books/NBK430798/
- https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2020/03/30/12/17/takotsubo-syndrome
- https://pmc.ncbi.nlm.nih.gov/articles/PMC5991216/",https://www.ncbi.nlm.nih.gov/sites/books/NBK430798/; https://pmc.ncbi.nlm.nih.gov/articles/PMC5991216/; https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2020/03/30/12/17/takotsubo-syndrome
